ID	Lev	x	y	lx	ly	Тип	Доп	Маска	Конфиг	Комментарий	Сокращ.	Форма	Позиция	Файл F5	Знечение	
215						av				Общественный транспорт	войсковая часть				ХХ212	
												Ф5	18_1	18_1		
										Троллейбус, трамвай						
										Метро	тролл-с,трамвай				ХХХ56	
											метро				ХХХ55	
																
216						av				Правоохранительные и правоприменительные органы						
										Правоохранительные органы		Ф5	18_1	18_1		
										внутренних дел	правоохр.органы				ХХ5ХХ	
										СИЗО	внутренних дел				ХХ510	
										Правоприменительные органы	СИЗО				ХХ515	
										– юстиции	правоприменит орг.				ХХ520	
										  – ИК	– юстиции				ХХ521	
										  – ВК	  – ИК				ХХ511	
										– ИУ	  – ВК				ХХ512	
										– тюрьма	– ИУ				ХХ513	
										Таможенные органы	– тюрьма				ХХ514	
										  – зона таможенного контроля	таможенные органы				ХХ516	
										– таможенный склад	зона тамож.контроля				ХХ517	
										– магазин беспошлинной торговли	– таможенный склад				ХХ518	
217						av				Охранные организации	– магазин беспошл. торговли				ХХ519	
										Частная детективная организация		Ф5	18_1	18_1		
										Охранная организация	частн.детектив.орган-я				ХХ403	
218						av				Предприятия	ЧОП				ХХ404	
										Предприятие по переработке		Ф5	18_1	18_1		
										Предприятие по переработке конопли, мака	предпр.по переработке				ХХ410	
										Предприятие по переработке стратегического сырья	пред.по перер.конопли				ХХ411	
										Предприятие по переработке рыбы, морского зверя, морепродуктов	пред.по перер.стратег.сырья				ХХ412	
										Предприятие по добыче	пред.по пер.рыбы,мор.зверя,мор-в				ХХ413	
										Предприятие по добыче (улову) рыбы, морского зверя, морепродуктов 	пред.по добыче				ХХ414	
										Предприятие по добыче стратегического сырья	пред.по доб.рыб,мор-в				ХХ415	
										Предприятие по производству	пред.по доб.стр.сырья				ХХ416	
										Предприятие по производству оружия, боеприпасов, взрывчатых материалов	пред.по производству				ХХ420	
										Предприятие по производству стратегических материалов	пред.по пр.оруж,боепр,взр.матер-в				ХХ421	
										Предприятие по производству химических средств и сырья для изготовления наркотиков	пред.по пр.стратег.материалов				ХХ422	
										Предприятие по производству оборудования для игорного бизнеса	пр.по пр.хим.ср,сыр.д.пр.нарк.				ХХ423	
										Предприятие по хранению	пр.по пр.обор.д.игор.биз.				ХХ424	
										Предприятие по хранению наркотических средств 	пред.по хранению				ХХ430	
										Предприятие по хранению конопли, мака	пр.по хр.нарк.средств				ХХ541	
										Предприятие по хранению оружия, боеприпасов, взрывчатых материалов	пр.по хр.коноп,мака				ХХ431	
										Предприятие по хранению стратегических материалов	пр.по хр.оруж,боеп,взр.матер.				ХХ432	
										Предприятие по хранению химических средств и сырья для изготовления наркотиков	пр.по хр.стратег.матер-в				ХХ433	
										 Предприятие по использованию	пр.по хр.х.ср-в,сыр.д.изг.нарк.				ХХ434	
										Предприятие по использованию химических средств и сырья для изготовления наркотиков	пр.по использованию				ХХ450	
